Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue
Summit Securities Limited (BSE:533306),BSE:533306,Investments & Asset Management,Financials,74,51,102,4,4,4,1,0,0,0,0,0,0,0,0,29%,21%,23%,0%,0%,0%,11,11,11,4471,5095,9015,0,0,0,455,534,1051,0,0,0,0,0,0,4903,5612,10071,33,28,6,47,38,36,-22,-43,-57,0,0,0,2192,2013,19.3,74.64,"Corporate Background Summit Securities Limited (formerly RPG Itochu Finance Limited) was originally incorporated in India in 1997.The Co. has obtained registration as a NBFC from RBI. Pursuant to a scheme of arrangement between erstwhile Summit Securities Limited and Brabourne Enterprises Limited (Brabourne) and Octav Investments Limited (Octav) and CHI Investments Limited (CHI) and the Co., the Co. took over the entire assets and liabilities of CHI, erstwhile Summit, Brabourne and Octav with effect from the appointed date of the Scheme of arrangement i.e. March 31, 2009. The assets taken over were predominantly the investments held by the transferor companies in various listed and unlisted companies. [1]",Small,98,47,70,0.960784314,0.921568627,0.945945946,0.942766296,1.088922007,21.49019608,22.33333333,10077,5640,4936,3920,625,39.41836735,12.38297872,9026,5106,4482,9026,5106,4482,0.010857523,0.009204857,0.015618028,0.013010204,-0.036858974,0,0,0,,1.4,15.9,,0.01012206,0.558823529
Panacea Biotec Limited (NSEI:PANACEABIO),NSEI:PANACEABIO,Drugs (Biotechnology),Health Care,661,460,559,674,558,579,1687,154,62,181,4,4,44,39,37,26%,363%,201%,0%,0%,0%,6,6,6,871,837,836,34,20,21,848,407,378,622,600,582,17,42,102,5,13,40,1114,615,517,-108,-422,0,1283,430,10,-1176,-18,-3,2009,328,,72.49,"Business Overview: [1] a) PBL is in the business of research, development, manufacture and marketing of branded vaccines, pharmaceutical formulations, nutraceuticals and food & nutrition products b) It is one of the largest Vaccine Manufacturing Company in India and is acknowledged by the United Nations (UN) Health Agencies in partnering the Global Polio Eradication Initiative (GPEI) with supplies of billions of doses of WHO Pre-qualified Polio vaccines in 50+ countries worldwide as a sequel to the completion of full range of Oral polio vaccines (tOPV, mOPV1, mOPV3 & bOPV (Type1&Type3) c) It is the first company to have developed fully liquid Pentavalent vaccine (DTwP-Hep B+Hib) EasyFive and worldâs first fully-liquid wP-IPV based Hexavalent vaccine (DTwP +HepB +Hib +IPV) EasySix",Small,-16,-94,168,-0.02862254,-0.204347826,0.254160363,0.007063332,6.125,3.59391771,748.6666667,659,670,1136,18,-25,-1.75,-4.308510638,842,843,877,863,863,911,-0.018539977,-0.108922364,0.184412733,inf,4.1875,0.02433372,0.023174971,0.037321625,190.4668534,1.4,15.9,20.14786086,0.450443191,-0.017889088
Aarti Drugs Limited (BSE:524348),BSE:524348,Drugs (Pharmaceutical),Health Care,2489,2716,2529,2156,2407,2208,11,2,4,24,37,38,50,50,51,24%,26%,27%,5%,6%,5%,93,93,92,944,1100,1190,543,609,564,629,620,587,690,676,811,77,210,261,19,19,20,1422,1516,1340,70,133,359,-150,-164,-224,92,17,-136,3580,390,23.5,55.38,"Largest producer in World Aarti Drugs Ltd. (ADL) is the largest producer of Fluoroquinolones group, Tinidazole, Metronidazole Benzoate, Celecoxib, Nimesulide, and Ketoconazole in the world. It is one of the leading producers of Metformin in the world. [1]",Small,359,346,357,0.141953341,0.127393225,0.143431097,0.137592554,9.179487179,1.41557928,1426,1621,1745,1518,-91,236,-0.877437326,0.208092486,1282,1193,1037,1846,1802,1580,0.19447454,0.192008879,0.225949367,-4.25,1.022522523,0.30552546,0.337957825,0.343670886,5.744337272,1.4,15.9,12.79718647,1.039884868,0.088572558
FDC Limited (BSE:531599),BSE:531599,Drugs (Pharmaceutical),Health Care,1525,1784,1943,1271,1533,1604,76,50,102,3,4,4,37,39,40,25%,25%,23%,0%,0%,0%,17,17,16,1940,1965,2081,32,28,21,281,333,350,705,699,680,105,198,261,886,806,843,575,640,684,162,155,221,-145,11,-17,-10,-180,-202,7524,462,23.8,69.66,"Revenue Breakup Anti-infective medicines contribute 42% of revenues, followed by gastro intestinal 24%, vitamins/ minerals 7%, ophthalmology 6%, cardiac 7%, dermatology 4% and others 11%. [1]",Mid,343,255,257,0.176531137,0.14293722,0.16852459,0.162664316,16.28571429,3.872362326,633,1788,1644,1566,127,26,0.320699708,0.145098039,2097,1982,1957,2118,2010,1989,0.161945231,0.126865672,0.129210659,1.472222222,12.33333333,0.009915014,0.013930348,0.016088487,14.23611111,1.2,14.7,14.69540054,0.787277147,0.008749357
GlaxoSmithKline Pharmaceuticals Limited (BSE:500660),BSE:500660,Drugs (Pharmaceutical),Health Care,3278,3252,3454,2516,2447,2545,1401,103,-21,2,2,2,68,66,70,19%,27%,28%,90%,89%,92%,169,169,169,2494,1572,1608,20,16,19,1950,1570,1760,331,330,321,30,20,14,366,518,813,3907,2458,2408,811,484,582,-406,808,9,-524,-1543,-562,34295,2025,42.8,75,"Leading Global Health care company [1] GlaxoSmithKline Pharmaceutical is a part of GlaxoSmithKline plc (GSK), a British multinational pharmaceutical company headquartered in London. GSK underwent a merger in 2000 of Glaxo Wellcome and SmithKline Beecham, and is the worldâs sixth-largest pharmaceutical company.",Large,911,807,764,0.263752171,0.248154982,0.233068944,0.248325366,16.93580247,9.929067748,2924.333333,3235,2996,4303,49,-927,0.063666301,-0.147459727,1777,1741,2663,1796,1757,2683,0.507238307,0.459305635,0.28475587,5.179487179,0.028077754,0.010579065,0.009106431,0.007454342,11.00877193,1,13.5,13.47364514,0.971316085,-0.002605675
Granules India Limited (BSE:532482),BSE:532482,Drugs (Pharmaceutical),Health Care,3765,4512,4506,3038,3597,3648,13,12,2,23,56,106,159,184,207,26%,25%,26%,9%,7%,9%,25,24,24,2562,2811,3201,1106,1136,1315,819,932,957,1541,1911,2096,356,239,272,20,21,22,2594,2732,3109,332,739,439,-379,-192,-358,190,-440,8,12555,517,26.2,38.85,Business Segments,Mid,964,971,750,0.213936973,0.215203901,0.199203187,0.20944802,24.28433269,2.786284953,2811.666667,3403,2992,2970,386,-91,0.029045643,-0.291452111,3225,2835,2587,4540,3971,3693,0.212334802,0.24452279,0.203086921,-0.010544815,2.68705036,0.289647577,0.286074037,0.299485513,5.023326657,1.2,14.7,11.89717501,0.819421713,0.079449623
Hikal Limited (BSE:524735),BSE:524735,Drugs (Pharmaceutical),Health Care,1943,2023,1785,1602,1765,1518,5,5,2,31,48,56,96,109,118,27%,26%,27%,12%,19%,21%,25,25,25,1043,1109,1163,675,748,818,470,504,482,879,948,1071,295,412,414,11,5,5,1028,1020,997,294,315,187,-284,-292,-174,-6,-8,-27,4191,341,57.1,68.85,"Business Segments 1. Pharmaceuticals [1] : Active pharmaceutical ingredients (APIs), custom manufacturing, intermediates and advanced intermediates. 2. Crop Protection: Active ingredients, advanced intermediates, intermediates. Custom Synthesis and Contract Manufacturing of Agrochemicals, Intermediates and Specialty Chemicals. 3. Research & Technology:** Process development, new product development, contract and custom development. It caters to the following Industries: Pharmaceutical (Generics & Custom Manufacturing), Biotech, Animal Healthcare, Crop Protection, Specialty Chemicals and Biocides, and Food. [2] [3]",Small,323,306,372,0.180952381,0.151260504,0.191456511,0.174556465,12.29032258,2.34789916,1015,1416,1437,1334,1,69,-0.535603715,-0.72875817,1188,1134,1068,2006,1882,1743,0.161016949,0.162592986,0.213425129,-1.919354839,0.575539568,0.40777667,0.397449522,0.387263339,5.951890221,1.4,15.9,11.84339292,0.717732207,0.097478992
Jubilant Pharmova Limited (BSE:530019),BSE:530019,Drugs (Pharmaceutical),Health Care,6130,6282,6703,4980,5503,5802,8,-9,-76,145,188,272,382,554,382,34%,333%,57%,19%,-130%,102%,16,16,16,5303,5383,5418,3192,3677,3664,1319,1853,2240,4871,5183,5091,1090,1562,2103,239,256,42,3631,3928,4101,838,661,971,-323,-474,-596,-33,-157,-432,14042,879,49.3,50.67,"Business Segments & Revenue Contribution 9MFY24 [1] [2] a) Radiopharma (~44%): Radiopharmaceuticals (including radiopharmacies)The company is the #3 radiopharmaceutical manufacturer in the US and has the #2  network in the US with 46 radiopharmacies. In 9MFY24, sale of Mertiatide, Sulfur colloid) and Ruby-Fill did very well. RUBY-FILL is a cardiac imaging product. Company plans to maintain its leadership position in North America. [3]",Mid,1173,967,1295,0.17499627,0.153931869,0.211256117,0.180061419,15.97497156,2.094882888,3886.666667,6246,5746,4960,113,252,-0.411764706,-0.229576008,5434,5399,5319,9098,9076,8511,0.128929435,0.106544733,0.152156033,19.13636364,0.269026549,0.402725874,0.40513442,0.375044061,5.693017017,1.2,14.7,11.07265491,0.59124989,0.088915411
Nectar Lifesciences Limited (NSEI:NECLIFE),NSEI:NECLIFE,Drugs (Pharmaceutical),Health Care,1665,1520,1682,1507,1467,1530,11,43,15,79,79,87,57,59,61,26%,-43%,73%,0%,0%,0%,22,22,22,1065,1042,1047,860,754,636,443,371,486,723,662,643,85,78,66,1,1,1,1582,1449,1482,95,134,225,17,52,-17,-119,-186,-205,780,34.8,72.7,44.53,"Business Overview: [1] NLL is a research-driven manufacturer of Active Pharmaceutical Ingredients, intermediates, and finished dosage forms, specializing in anti-infectives like Cephalosporins. It also serves as a CMO for global pharma innovators.",Small,239,132,237,0.142092747,0.086842105,0.142342342,0.123759065,22.4137931,0.46373365,1504.333333,1549,1528,1668,-94,-68,-0.464435146,-0.121212121,1069,1064,1087,1705,1818,1947,0.140175953,0.072607261,0.121725732,-1.433628319,1.124031008,0.373020528,0.414741474,0.441705187,11.11424846,1.4,15.9,14.11481643,0.767335766,0.010107015
Unichem Laboratories Limited (BSE:506690),BSE:506690,Drugs (Pharmaceutical),Health Care,1270,1343,1705,1198,1389,1605,47,0,-26,6,17,23,91,113,113,-50%,15%,14%,85%,-14%,0%,14,14,14,2604,2421,2348,349,314,248,351,444,559,990,1257,1196,494,147,123,264,2,1,1571,1787,1849,-260,-85,17,100,241,57,191,-81,-106,4907,691,98,70.22,"Therapeutic Areas The company manufactures and markets APIs and pharmaceutical formulations as branded & non-branded generics. The companyâs products cater to diverse therapeutic areas such as cardiology, gas, diabetology, gastroenterology psychiatry, neurology, antibacterial, anti-infective, and pain management. [1]",Small,123,-29,78,0.072140762,-0.021593448,0.061417323,0.037321546,7.10130246,2.878005865,1735.666667,1973,1936,2329,-78,-486,-0.170731707,8.448275862,2362,2435,2618,2610,2749,2967,0.047126437,-0.010549291,0.026289181,-2.604316547,-0.334862385,0.095019157,0.114223354,0.117627233,5.469134665,1.4,15.9,14.90886797,0.538024613,-0.033431085
Poly Medicure Limited (BSE:531768),BSE:531768,Healthcare Products,Health Care,922,1115,1375,707,847,1013,40,38,60,6,11,14,54,57,64,25%,25%,25%,16%,16%,11%,48,48,48,1040,1194,1422,127,149,174,163,187,214,488,635,867,43,78,76,346,132,167,499,732,748,123,191,266,-85,-179,-241,-35,-13,-20,22918,2261,77.7,62.44,"Product Portfolio It is a medical devices company with product portfolio comprises of more than 130 SKUs of medical devices in the product verticals of infusion therapy, oncology, anesthesia and respiratory care, urology, gastroenterology, blood management and blood collection, surgery and wound drainage, dialysis, central venous access catheters, veterinary medical devices, and others. [1]",Large,376,279,221,0.273454545,0.250224215,0.239696312,0.254458358,10.13622291,16.66763636,659.6666667,991,942,888,22,30,-0.582446809,-0.534050179,1470,1242,1088,1644,1391,1215,0.228710462,0.200575126,0.181893004,1.027667984,1.096590909,0.105839416,0.107117182,0.104526749,6.717645599,1,13.5,12.78215957,0.740043057,0.175272727
Apollo Hospitals Enterprise Limited (NSEI:APOLLOHOSP),NSEI:APOLLOHOSP,Hospitals/Healthcare Facilities,Health Care,14663,16612,19059,12474,14548,16665,368,75,105,379,381,449,601,615,687,30%,22%,33%,16%,26%,26%,72,72,72,5551,6126,6864,4068,4332,5333,3570,3886,4474,8296,8520,9664,46,610,873,816,574,986,4104,4712,5219,1696,1377,1920,-747,-857,-1537,-792,-633,-311,96642,6722,81.7,29.33,"Business Segments 1) Healthcare Services (52% in H1 FY25 vs 55% in FY22): [1] [2] The company has a capacity of 10,134 beds in 73 hospitals located in India and overseas, out of which 8,709 beds are located in 45 owned hospitals, 639 beds in Day Surgery & Cradles and 790 beds are in 6 hospitals under management through operations and management contracts. [3]",Large,2843,2445,2568,0.149168372,0.147182759,0.175134693,0.157161941,14.37697114,5.070675272,4678.333333,7078,5896,4966,594,614,-0.331691875,-0.099386503,6936,6198,5623,12269,10530,9691,0.231722227,0.232193732,0.264988133,1.407130535,2.323003576,0.434672752,0.411396011,0.419770921,8.843635853,1,13.5,11.47600538,1.138394457,0.080644315
Bharat Electronics Limited (BSE:500049),BSE:500049,Aerospace/Defense,Industrials,15368,17734,20268,12024,13645,15217,232,281,670,9,19,12,401,429,443,26%,25%,25%,46%,44%,40%,244,731,731,12042,13131,15595,53,61,63,21574,21567,23136,2675,2963,3035,1006,855,894,1572,650,682,28659,31022,34913,4207,1199,4659,-4872,2708,-5924,-1078,-1262,-1475,188811,258,41.6,51.14,"Business Segments 1) Defence (81% in FY24 vs 90% in FY22): [1] [2] The company develops advanced electronic equipment, systems, and services for the Indian defense sector, including Radar and Fire Control Systems, Weapon Systems, Communication, Network Centric Systems (C4I), Electronic Warfare Systems, etc. It operates 29 strategic business units (SBUs), including 4 new SBUs- Network & Cyber Security, Unmanned Systems, Seekers, and Arms & Ammunition. The segmental revenue grew by 19%, supported by healthy order execution. [3]",Large,5063,4108,3353,0.249802645,0.231645427,0.218180635,0.233209569,731.8255814,9.315719361,31531.33333,36489,32527,31237,2393,1297,-0.697412601,0.974926972,16326,13862,12286,16389,13923,12339,0.308926719,0.295051354,0.271740011,1.02757502,1.493686869,0.003844042,0.00438124,0.004295324,22.39209737,1,13.5,13.53418159,0.512802348,0.292283402
Carysil Limited (BSE:524091),BSE:524091,Building Materials,Industrials,484,594,684,379,484,553,10,2,5,11,17,23,18,26,32,24%,22%,28%,10%,10%,9%,5,5,5,248,298,349,150,235,312,150,174,178,206,328,404,21,14,10,0,0,0,326,371,431,52,71,58,-73,-136,-102,18,64,48,1938,681,30.5,41.37,"Overview [1] Carysil Limited was incorporated in 1987 and is engaged in manufacturing of Composite Quartz Sinks. The Company started its operations in technical collaboration with âSchock & Co.â, and has become one of the largest manufacturers of Quartz Kitchen Sinks in Asia. Company manufactures Stainless-Steel Kitchen Sinks with a core focus on âQuadro Sinksâ and dealing in a complete range of built-in Kitchen Appliances under its âCarysilâ Brand, having varieties of Kitchen Chimneys, Dishwashers, Cook-tops, Built-in Ovens, Wine-Chillers etc. Company also offers Bathroom solutions like Premium Sanitary ware, Washbasins, and Composite 3D Tiles to name a few, under its âSternhagenâ Brand.",Small,154,127,116,0.225146199,0.213804714,0.239669421,0.226206778,2.845814978,2.833333333,376,441,385,347,52,14,-0.324675325,-0.960629921,354,303,253,666,538,403,0.231231231,0.23605948,0.287841191,0.703125,0.814814815,0.468468468,0.436802974,0.372208437,7.313056919,1.4,15.9,11.87728793,0.809467456,0.149122807
Electrosteel Castings Limited (BSE:500128),BSE:500128,Building Materials,Industrials,5281,7276,7478,4586,6530,6274,59,77,76,195,286,219,115,121,125,22%,24%,21%,14%,17%,12%,59,59,62,4044,4323,5051,2967,2667,2332,1554,1469,1663,2763,2731,2928,1208,1302,1229,457,161,204,4196,4324,4747,-279,452,806,-329,168,-37,609,-604,-720,7285,118,8.36,46.22,"Product Portfolio [1] Ductile Iron Pipes, Ductile Iron Fittings, Ductile Iron Flange Pipes and Restrained Joint Pipes. Additionally, ECL manufactures Cast Iron Pipes, Metallurgical Coke, Sponge Iron, Cement, Ferro Silicon, Pig Iron and Power.",Mid,1423,1032,890,0.190291522,0.141836174,0.168528688,0.166885461,61.73728814,0.97419096,4422.333333,6180,5787,5861,199,11,0.113843992,0.173449612,5113,4382,4103,7445,7049,7070,0.19113499,0.146403745,0.125884017,0.51010101,-95,0.313230356,0.378351539,0.419660537,8.895678469,1.2,14.7,12.8819103,0.821036451,0.004947847
TeamLease Services Limited (NSEI:TEAMLEASE),NSEI:TEAMLEASE,Business & Consumer Services,Industrials,6480,7870,9322,6337,7748,9191,-52,41,50,4,6,10,41,43,53,13%,3%,4%,0%,0%,0%,17,17,17,676,791,781,60,100,105,785,856,1032,262,303,293,18,17,11,53,194,3,1204,1250,1628,-6,126,118,-88,-123,41,-13,-24,-151,4249,2527,42.8,31.61,"Overview [1] TeamLease Services is one of Indiaâs leading HR company. TeamLease also operates Indiaâs first Vocational University and Indiaâs fastest growing PPP Degree Apprenticeship Program. In FY15, company rolled out DA (Degree Apprenticeship ) to provide on-the-job training to apprentices.",Small,141,128,147,0.01512551,0.016264295,0.022685185,0.018024997,1.681440443,0.455803476,1360.666667,1642,1461,1275,5,115,0.326241135,-0.0625,798,808,693,903,908,753,0.156146179,0.140969163,0.195219124,-290.4,8.967741935,0.11627907,0.110132159,0.079681275,7.396825397,1.4,15.9,14.91125877,4.817571059,-0.004398198
Elecon Engineering Company Limited (BSE:505700),BSE:505700,Electrical Equipment,Industrials,1212,1530,1937,960,1189,1463,5,22,50,38,14,9,49,49,51,18%,21%,24%,11%,9%,9%,22,22,22,1028,1257,1582,151,52,70,513,399,449,739,754,769,1,0,1,54,77,286,921,899,1067,223,309,365,15,-166,-279,-250,-145,-58,11624,518,31.2,59.28,"Products and Services 9MFY24 [1] Power Transmission (87%): The company was the first to introduce modular design concepts, case-hardened, and ground gear technology in India. [2]",Mid,483,355,290,0.249354672,0.232026144,0.239273927,0.240218248,22.44015444,6.001032525,962.3333333,1354,976,976,328,114,0.101449275,-0.146478873,1604,1279,1050,1674,1331,1201,0.288530466,0.266716754,0.241465445,1.186588921,2.446153846,0.04181601,0.03906837,0.12572856,21.64859423,1.2,14.7,14.99056248,0.91238813,0.144037171
HBL Power Systems Limited (BSE:517271),BSE:517271,Electrical Equipment,Industrials,1236,1369,2233,1097,1217,1810,26,20,8,7,7,13,35,35,41,23%,24%,26%,12%,13%,5%,28,28,28,838,924,1193,63,86,67,204,257,366,265,320,354,81,50,20,8,9,108,779,915,1171,62,122,273,-17,-50,-139,-22,10,-42,14276,515,41.2,59.1,Market Position The company ranks ** 2nd globally in the industrial nickel batteries segment and 3rd** in India's VRLA lead batteries segment. It is also the only manufacturer of PLT lead batteries in the country. [1],Mid,436,159,146,0.195253023,0.11614317,0.118122977,0.143173057,27.72038835,6.393193014,955,1299,974,868,216,53,0.176605505,0.018867925,1221,952,866,1288,1038,929,0.338509317,0.153179191,0.157158235,3.456,1.220183486,0.052018634,0.082851638,0.067814855,12.88454369,1.2,14.7,14.60556244,1.350877193,0.062248097
Suzlon Energy Limited (NSEI:SUZLON),NSEI:SUZLON,Electrical Equipment,Industrials,6582,5971,6529,5682,5137,5492,95,2739,-24,735,421,164,260,260,190,41648%,0%,0%,0%,0%,0%,1843,2454,2722,-5369,-1355,1199,6465,1938,150,3535,2486,3108,1059,866,886,20,6,20,0,0,8,5396,4651,6264,1302,491,80,-19,85,-152,-1045,-709,132,68094,50.3,58.2,13.25,"Business Overview: [1] [2] Company is a renewable energy solutions provider and is in the business of manufacturing, project execution and operation and maintenance of wind turbine generators and sale of related components. It has installed 20+ GW of wind energy in 17 countries and 111+ wind farms with a capacity of 13,880 MW. Company client portfolio includes power utilities and electricity producers in both the private and public sectors.",Large,1201,1255,1635,0.183948537,0.210182549,0.24840474,0.214178609,1353.757455,10.42946853,5437,6292,4657,5416,1013,290,0.716902581,0.298804781,3921,1099,-3526,4071,3037,2939,0.29501351,0.413236747,0.556311671,0.539651838,-6.234693878,0.036845984,0.638129733,2.199727799,47.47522302,1,13.5,14.75185052,0.909584843,0.023280747
AXISCADES Technologies Limited (BSE:532395),BSE:532395,Engineering/Construction,Industrials,610,822,955,539,675,820,7,-62,10,17,37,58,25,27,34,38%,123%,37%,0%,0%,0%,19,19,21,312,319,564,72,346,319,392,220,231,286,312,414,0,0,0,19,33,37,491,559,685,31,71,79,30,-199,-162,-42,133,64,2783,665,61.3,59.56,Service Offerings The company offers Product Engineering Solutions in the following areas: 1. Embedded Software and Hardware 2. Digitization and Automation 3. Mechanical Engineering 4. System Integration 5. Test Solutions 6. Manufacturing Engineering 7. Technical Publications 8. Aftermarket Solutions [1],Small,193,184,88,0.202094241,0.223844282,0.144262295,0.190066939,4.184962406,2.914136126,578.3333333,722,592,510,119,254,-0.222797927,0.298913043,585,338,331,904,684,403,0.213495575,0.269005848,0.218362283,0.604545455,0.754448399,0.352876106,0.505847953,0.17866005,17.49552364,1.4,15.9,16.46302217,0.840669014,0.169633508
GPT Infraprojects Limited (BSE:533761),BSE:533761,Engineering/Construction,Industrials,675,809,1018,590,722,898,7,6,7,39,37,33,20,19,16,29%,20%,29%,36%,46%,30%,29,58,58,227,219,244,262,252,193,201,252,231,106,134,135,2,7,2,28,25,23,584,615,566,72,119,113,-14,-60,-8,-58,-56,-108,1350,107,22.3,69.05,"Overview [1] GPT Infraprojects Limited, the flagship company of GPT Group, is a premier infrastructure company based out of Kolkata. It is focused on Railways and executes civil and infrastructure projects, especially large bridges and ROBs for Railways.",Small,153,124,124,0.150294695,0.153275649,0.183703704,0.162424683,12.61682243,1.326129666,588.3333333,591,647,614,-35,-18,-0.281045752,-0.629032258,302,277,256,495,529,518,0.309090909,0.234404537,0.239382239,-6.147058824,12.18181818,0.38989899,0.47637051,0.505791506,15.55549382,1.4,15.9,15.76567739,1.402203857,0.007858546
Hindustan Construction Company Limited (BSE:500185),BSE:500185,Engineering/Construction,Industrials,10668,8270,7007,9480,7722,6336,615,497,974,1036,1012,813,138,128,105,10%,-71%,34%,0%,0%,0%,151,151,151,-810,-866,-320,2018,5512,2223,12835,8381,7005,723,623,449,1,0,1,59,79,246,13411,12475,8364,947,16,91,-208,448,536,-660,-603,-810,5362,29.5,,16.72,"Service Offerings It is an engineering and construction company developing infrastructure projects including dams, tunnels, bridges, hydro, nuclear, thermal power plants, expressways and roads, marine works, water supply, irrigation systems, etc. It has contributed to Indiaâs 26% hydropower capacity, over 60% of its nuclear power generation capacity, 4,036 lane km of roads and expressways, 395 bridges, and 360 km of advanced tunneling. [1] [2] The total revenue declined by 18% YoY in FY24, driven by the divestment of Steiner AGâs construction business. [3] [4]",Mid,1484,1560,2224,0.211788212,0.188633615,0.208473941,0.202965256,181.7627119,0.765234765,11416.66667,8611,12554,13471,-2567,3537,-1.368598383,2.554487179,-169,-715,-659,2054,4797,1359,0.722492697,0.325203252,1.636497425,0.460444769,-0.697498546,1.082278481,1.149051491,1.484915379,35.42336668,1.2,14.7,37.12845382,0.773399558,-0.076494934
KEC International Limited (NSEI:KEC),NSEI:KEC,Engineering/Construction,Industrials,13742,17282,19914,12742,16362,18561,-31,59,56,413,656,797,158,161,185,17%,-9%,19%,31%,44%,30%,51,51,51,3569,3720,4044,3065,3383,3985,9613,10117,10951,1538,1583,1628,2,11,14,13,0,0,14745,15677,17389,-284,614,311,-204,-139,-243,496,-401,-145,20639,776,49,50.1,"Order Book & Order Intake [1] As of Dec'23, the company has an order book of Rs.30,161 Cr and L1 position stands of over Rs.8,000 Cr. International: 31% Domestic 69% Order Book by Sector T&D : 49% (T&D : 45% ; SAE: 4%) Civil : 33% Railways : 12% Cables : 2% Oil & Gas : 2% Others : 2%",Large,2150,1576,1413,0.107964246,0.091193149,0.102823461,0.100660285,26.59664948,1.036406548,15937,17403,15688,14760,881,424,0.296744186,0.180837563,4095,3771,3620,8080,7154,6685,0.266089109,0.220296338,0.211368736,2.842332613,7.547974414,0.493193069,0.472882304,0.458489155,17.62192918,1,13.5,15.5329069,1.046397982,0.012202471
Madhucon Projects Limited (BSE:531497),BSE:531497,Engineering/Construction,Industrials,948,1162,1164,1012,1415,1463,127,902,301,31,47,41,141,799,32,17%,-10%,-14%,0%,0%,0%,7,7,7,-2095,-1927,-1510,4178,4011,3913,3413,2019,1802,677,53,169,550,232,87,754,1,1,3522,3825,3956,232,-241,-250,-158,949,467,-43,-720,-261,60.9,8.4,,59.08,"Business Overview : [1] [2] Company does development and execution of Engineering, Procurement and Construction (EPC) and Turnkey Projects in multiple sectors such as Transportation, Irrigation, Water Resource Infrastructures, Railways, development of smart cities and properties in India. Company undertakes Projects in all modes viz., Cash Contracts, EPC and Build, Own and Operate (BOT). It has in-house Design Facility to undertake Surveys, Investigation, Design of Structures etc.",Micro,-258,-206,-33,-0.221649485,-0.177280551,-0.034810127,-0.144580054,7.25,0.052319588,3767.666667,4044,4058,4826,203,626,-2.596899225,-7.645631068,-1503,-1920,-2088,2410,2091,2090,-0.107053942,-0.098517456,-0.015789474,0.006269592,214,1.623651452,1.918220947,1.999043062,0.987182947,1.6,17.1,-9.061598808,0.276287681,-0.401202749
Power Mech Projects Limited (NSEI:POWERMECH),NSEI:POWERMECH,Engineering/Construction,Industrials,2710,3601,4207,2424,3206,3714,14,17,28,79,90,94,37,43,44,25%,26%,35%,2%,1%,1%,15,15,16,1029,1260,1822,531,477,396,1023,1302,1334,180,189,231,2,3,11,39,36,37,2375,2827,3288,175,182,205,-52,-91,-373,-63,-120,176,6852,2169,25.1,58.29,"Business Units The company has 5 strategic units namely Industrial Services, Industrial Construction, Infrastructure Construction, Manufacturing & Heavy Fabrication, and Mining. [1]",Mid,587,485,365,0.139529356,0.13468481,0.134686347,0.136300171,3.159059474,1.628714048,2830,3336,2866,2416,438,171,0.110732538,0.164948454,1838,1275,1044,2234,1752,1575,0.262757386,0.276826484,0.231746032,1.257261411,5.033898305,0.177260519,0.272260274,0.337142857,19.16096257,1.2,14.7,15.49075254,1.179422484,0.088661754
SPML Infra Limited (NSEI:SPMLINFRA),NSEI:SPMLINFRA,Engineering/Construction,Industrials,952,883,1319,957,854,1301,30,28,41,22,50,57,4,3,2,-89%,88%,600%,0%,0%,0%,9,10,11,277,315,450,1846,1771,549,673,696,883,133,129,42,56,56,0,65,59,38,2551,2549,1812,-19,20,594,36,46,23,-16,-87,-410,1292,180,59,34.8,"Business Overview: [1] [2] SPML is a leading infrastructure development company in India, certified to ISO standards, with a diverse portfolio spanning over 650 projects nationwide. They specialize in water treatment, power transmission, waste management, and civil infrastructure, securing contracts from government departments across Delhi, Uttar Pradesh, Rajasthan, Bihar, Gujarat, Maharashtra, and Karnataka.",Small,75,79,17,0.056861259,0.089467724,0.017857143,0.054728708,7.177777778,0.979529947,2304,1850,2664,2672,-1001,-31,-13.04,0.189873418,461,325,286,1010,2096,2132,0.074257426,0.03769084,0.007973734,-0.401473297,1.916666667,0.543564356,0.844942748,0.865853659,4.799181112,1.4,15.9,9.865990525,0.697145877,-0.017437453
