Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,other_liabilities_2022,other_liabilities_2023,other_liabilities_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About
Mercantile Ventures Limited (BSE:538942),BSE:538942,Real Estate (Operations & Services),Real Estate,"<td class="""">37.04</td>","<td class="""">47.15</td>","<td class="""">60.39</td>","<td class="""">34.84</td>","<td class="""">43.77</td>","<td class="""">60.19</td>",16.32,7.51,-3.96,1.08,1.08,1.39,0.99,0.98,0.99,30.21%,23.56%,23.29%,0.00%,0.00%,0.00%,111.92,111.92,111.92,226.28,199.4,221.26,0,4,0,17.9,21.25,63.63,76.81,76.61,90.42,0,0,0,147.55,177.2,175.41,131.74,82.76,130.98,-6.14,-13.74,38.67,-10.02,9.16,17.23,0,4,-4,246,21.9,47.7,72.76%,"Business Overview: [1] [2] MVL, formerly an NBFC, is engaged in leasing of properties, facility management and providing manpower services. It acquires immovable properties for letting them out on lease or for resale"
SJVN Limited (NSEI:SJVN),NSEI:SJVN,Power,Utilities,"<td class="""">2,417</td>","<td class="""">2,938</td>","<td class="""">2,579</td>","<td class="""">623</td>","<td class="""">665</td>","<td class="""">737</td>",195,310,380,226,449,482,404,396,557,27%,22%,23%,68%,51%,78%,"3,930","3,930","3,930","9,241","9,930","10,141","6,906","14,059","20,323","3,172","4,392","4,797","7,866","8,489","10,906","8,369","15,674","20,033",275,36,37,"6,738","8,112","8,215","2,138","1,632","1,310","-6,132","-6,877","-5,502","3,669","5,559","4,502","35,399",90,38.3,81.85%,"Electricity Plants Presently, the company has 6 operation electricity projects across India with a total capacity of ~2017 MW. Nathpa Jhakri Hydro Power - 1500 MW - Himachal Pradesh Rampur Hydro Power - 412 MW - Himachal Pradesh Khirvire Wind Power - 47.6 MW - Maharashtra Charanka Solar Power - 5.6 MW - Gujarat Sadla Wind Power - Gujarat - 50 MW Grid connected Solar Plant at NJHPS - 1.3MW [1] <h1>The company operates India’s single-largest hydro power plant (NJHPS: 1,500MW). Also, RHPS (412MW) is the country’s second-largest hydro power generator [2] </h1>"
Prime Focus Limited (NSEI:PFOCUS),NSEI:PFOCUS,Entertainment,Communication Services,"<td class="""">3,386</td>","<td class="""">4,644</td>","<td class="""">3,951</td>","<td class="""">2,589</td>","<td class="""">3,670</td>","<td class="""">3,697</td>",-89,219,216,373,421,558,417,527,498,111%,45%,-17%,0%,0%,0%,30,30,30,84,-5,486,"4,102","4,892","4,859","1,422","1,826","1,744","2,895","3,067","2,990",28,152,260,0,131,153,"2,715","3,393","3,718",183,254,-33,-80,-490,-317,-232,152,335,"3,040",102,,69.86%,"Milestones It is the first company in India to offer a high-end post-production finishing system, film scanning, and recording system. It is also the first in South Asia to offer a 4K DI Facility. Its technology division, Prime Focus Technologies, deployed the World’s first Hybrid Cloud platform “CLEARTM” in 2009. It is the first company in the world to convert an entire Hollywood film from 2D to 3D - transforming the stereo conversion services landscape forever. [1] It is one of the world’s largest providers of end-to-end post-production services. [2] The co. owns India’s largest integrated studio in Mumbai controlling the major share of the local studio market. [3]"
Vision Cinemas Limited (BSE:526441),BSE:526441,Entertainment,Communication Services,"<td class="""">0.00</td>","<td class="""">0.40</td>","<td class="""">1.58</td>","<td class="""">0.11</td>","<td class="""">0.30</td>","<td class="""">2.36</td>",0,0.24,0.81,0,0,0,0.21,0.21,0.14,3.12%,-238.46%,-9.09%,0.00%,0.00%,0.00%,7.89,7.89,7.89,0.28,0.73,0.62,0.66,0,0,2.66,2.9,2.04,1.48,1.27,1.13,0,0,0,0,0,0,10.01,10.25,9.42,0,0.01,-0.12,0,0,0.11,0,0.01,0.02,9,1.27,,38.84%,"Business Overview: [1] Company is one of the Oldest Exhibition and Movie Processing Laboratory Companies in Southern India. At present, company has upgraded its websites to include online ticket bookings for its Cinema Screens. Company has also started identifying areas where it can set up multiplexes and F&B store."
MPS Limited (NSEI:MPSLTD),NSEI:MPSLTD,Publishing & Newspapers,Communication Services,"<td class="""">449</td>","<td class="""">501</td>","<td class="""">545</td>","<td class="""">323</td>","<td class="""">344</td>","<td class="""">375</td>",14,11,12,2,1,1,21,19,20,26%,26%,26%,59%,31%,108%,17,17,17,350,410,443,12,8,5,118,124,271,144,180,388,0,0,1,6,28,30,347,351,317,115,113,118,16,-64,25,-116,-70,-93,"4,262","2,498",32.6,68.34%,"Business Segments [1] 1. Content Solutions (53% revenue share in Q1FY24) It provides comprehensive content solutions from content creation to delivery across all media that help drive the competitiveness and differentiation of educational, academic, science, technical, medical, and professional publishers. Its key offerings are Content authoring, development, learning design, Digital transformation, etc."
Alps Industries Limited (NSEI:ALPSINDUS),NSEI:ALPSINDUS,Apparel,Consumer Discretionary,"<td class="""">302</td>","<td class="""">17</td>","<td class="""">2</td>","<td class="""">317</td>","<td class="""">24</td>","<td class="""">3</td>",-3,2,4,61,55,59,5,0,0,0%,0%,0%,0%,0%,0%,39,39,39,-752,-812,-869,715,769,828,44,11,6,2,2,2,0,0,0,1,1,1,42,3,1,-59,38,42,102,0,0,-44,-39,-42,9.72,2.61,,22.21%,"Business Overview : [1] AIL manufactures home textile products, including bedding, window dressings, decorative pillows and accents, table linen, and kitchen linen. These products are made from vegetable-dyed fabrics, organic cotton, and recycled cotton fabrics."
Arvind Limited (BSE:500101),BSE:500101,Apparel,Consumer Discretionary,"<td class="""">8,010</td>","<td class="""">8,382</td>","<td class="""">7,738</td>","<td class="""">7,180</td>","<td class="""">7,554</td>","<td class="""">6,858</td>",13,100,42,197,192,193,254,253,266,38%,15%,24%,0%,37%,37%,261,262,262,"2,690","3,084","3,281","1,865","1,517","1,448","2,881","2,035","2,254","3,481","3,427","3,421",46,80,117,66,211,167,"4,104","3,180","3,539",595,666,696,-121,-135,-277,-439,-534,-419,"8,592",327,28.5,39.59%,"Leading Denim Manufacturer [1] Arvind is a leading manufacturer of denim and woven fabrics, with capacities of 100 million meters per annum (MMPA) and 150 MMPA, respectively, as of March 31, 2023. The company also produces cotton shirting, knits, Khakis, and technical textiles."
Indo Count Industries Limited (BSE:521016),BSE:521016,Apparel,Consumer Discretionary,"<td class="""">2,842</td>","<td class="""">3,012</td>","<td class="""">3,557</td>","<td class="""">2,403</td>","<td class="""">2,556</td>","<td class="""">2,995</td>",135,30,41,47,62,70,41,65,83,26%,23%,25%,11%,14%,13%,39,40,40,"1,551","1,753","2,049","1,319",876,956,352,379,524,631,"1,110","1,355",24,183,35,2,143,133,"2,606","1,611","2,046",-37,755,146,-258,-474,-98,646,-574,-47,"5,841",294,18.9,58.74%,"Business Profile [1] Indo Count is the largest global home textile bed linen company specializing in bed sheets, fashion bedding, utility bedding, and institutional bedding."
Konark Synthetic Limited (BSE:514128),BSE:514128,Apparel,Consumer Discretionary,"<td class="""">40.10</td>","<td class="""">47.35</td>","<td class="""">43.60</td>","<td class="""">39.17</td>","<td class="""">45.14</td>","<td class="""">40.22</td>",1.42,-6.99,1.09,2.77,3.4,3.3,3.54,3.31,0.99,-1.01%,6.61%,16.67%,0.00%,0.00%,0.00%,5.81,5.81,5.81,-23.88,-34.92,23.95,100.6,99.64,31.22,-5.28,-9.05,-13.49,21.46,15.55,4.3,0,0,0,4.18,3.87,3.9,51.61,42.06,39.29,0.86,0.57,1.41,5.55,3.04,0.2,-6.61,-3.45,-1.48,17.6,30.4,,74.99%,"Product Profile: [1] a) Yarn: [2] Company manufacturers specialty polyester yarns, Texturized & Air-Texturized yarn in India with a production capacity of 3,000 tons per annum and exports to Turkey, China and Middle East among others. b) Fabrics: [3] Product range includes yarn dyed and piece dyed 100% polyester fabrics & its blends with cotton, linen, rayon & silk with a production capacity of 1,20,000 meters per month c) Cotton Spinning: [4] India Denim Limited (IDL), a subsidiary of Konark Synthetic Ltd., is a completely automated spinning unit with an installed capacity of 36000 spindles for ring spinning and 3 lines for open ended spinning. Cotton yarns produce are available in Carded, Combed and Compact varieties d) Apparel: [5] Company's apparel division, located in Bangalore, is a 300 machine plant that has capacity to produce nearly half a million pieces of Trousers, Shirts, and Shorts per annum. Company’s order book comprises mostly of exports majorly to the American market."
Uniroyal Industries Limited (BSE:521226),BSE:521226,Apparel,Consumer Discretionary,"<td class="""">98</td>","<td class="""">112</td>","<td class="""">98</td>","<td class="""">92</td>","<td class="""">109</td>","<td class="""">95</td>",0,0,2,2,2,2,2,2,2,16%,-7%,-36%,0%,0%,0%,8,8,8,11,10,11,20,23,22,10,10,10,22,20,18,0,0,0,0,0,0,27,31,33,3,-2,2,1,0,1,-4,2,-2,18.2,22,8.23,55.34%,"Business Overview: [1] Company focuses on indigenous as well as foreign textile markets. Company manufactures computerized Woven Labels and Narrow Fabrics in “Taffeta' & “Satin' weaves, printed labels and plastic seals. Company meets the demands of garment manufacturers and exporters, furnishing industry, shoe industry and toy industry."
India Nippon Electricals Limited (NSEI:INDNIPPON),NSEI:INDNIPPON,Auto Parts,Consumer Discretionary,"<td class="""">566</td>","<td class="""">656</td>","<td class="""">724</td>","<td class="""">517</td>","<td class="""">603</td>","<td class="""">658</td>",25,23,25,0,0,0,13,15,15,18%,20%,22%,28%,43%,39%,11,11,11,494,549,612,4,4,3,132,154,211,130,134,143,5,13,13,278,355,432,228,215,249,7,57,63,28,-46,-39,-15,-22,-25,"1,365",599,19,70.37%,"Product Portfolio [1] INEL produces ignition system parts for OEMs in the vehicle industry and enjoys market leadership in the electronic ignition system products. They have recently entered the market for EVs. Company continues to expand its product portfolio with sensors, controllers, converters and engine control units etc. The products are Electronic Ignition System, Controllers, Sensors, Electric Vehicles and After Market. [2]"
Aptech Limited (NSEI:APTECHT),NSEI:APTECHT,Education,Consumer Discretionary,"<td class="""">225</td>","<td class="""">456</td>","<td class="""">436</td>","<td class="""">184</td>","<td class="""">380</td>","<td class="""">394</td>",11,13,9,0,1,2,8,6,8,-14%,18%,28%,42%,37%,90%,41,41,58,169,215,202,0,7,8,101,218,140,19,23,28,1,3,4,23,23,23,269,433,354,45,99,-8,-1,-54,-24,-6,-21,-28,887,153,46.7,47.35%,Business Segments
Career Point Limited (NSEI:CAREERP),NSEI:CAREERP,Education,Consumer Discretionary,"<td class="""">54</td>","<td class="""">85</td>","<td class="""">102</td>","<td class="""">24</td>","<td class="""">70</td>","<td class="""">36</td>",5,6,13,3,2,2,4,4,4,17%,20%,22%,8%,15%,3%,18,18,18,453,461,513,26,21,35,23,61,73,204,207,192,4,0,0,4,1,2,307,353,445,42,3,-29,10,4,18,-49,-10,7,591,327,9.53,63.68%,"Business Overview: [1] CPL provides education from preschool to University through CP Universe , a complete educational hub for School Education, and Coaching Services"
Zee Learn Limited (BSE:533287),BSE:533287,Education,Consumer Discretionary,"<td class="""">248</td>","<td class="""">324</td>","<td class="""">356</td>","<td class="""">197</td>","<td class="""">293</td>","<td class="""">260</td>",31,-408,146,44,44,42,37,32,24,1665%,2%,12%,0%,0%,0%,33,33,33,430,-13,150,437,463,360,547,540,542,987,649,628,53,53,0,0,0,0,407,320,456,62,42,50,-6,-12,-6,-37,-30,-51,261,7.97,6.79,15.01%,"Business Overview: [1] ZLL is a part of Essel Group. They operate K-12 school, pre schools and vocational academies . ZLL also acts as a consultant to local entrepreneurs who wish to set-up K-12 schools and the Kidzee pre-school and provides end-to-end education management and advisory services. The group follows a structure of Company- Owned and Company Operated (COCO) and franchisee models. It has 49 pre school centers under the COCO model (32 Kidzee,11 Mount Litera World Pre schools and 6 Mount Litera Zee schools Junior). Company also has 6K-12 COCO schools (5 Mount Litera Zee School and 1 Mount Litera Schools International), which operate under various trusts or societies"
Symphony Limited (BSE:517385),BSE:517385,Furn/Home Furnishings,Consumer Discretionary,"<td class="""">1,039</td>","<td class="""">1,188</td>","<td class="""">1,156</td>","<td class="""">877</td>","<td class="""">1,048</td>","<td class="""">985</td>",40,50,48,10,12,12,24,26,26,28%,24%,18%,52%,30%,61%,14,14,14,825,867,735,254,232,170,267,281,291,355,351,327,0,0,0,500,527,373,506,516,510,57,125,162,6,-12,193,-34,-124,-367,"8,712","1,264",37.4,73.42%,"Product Portfolio Symphony Limited is the world leader in evaporative air coolers. It addresses every cooling need with a product range comprising household, commercial and industrial air coolers. [1] As of FY23, company has 97+ designs, 20+ copyrights, 55+ patents 417+ trademarks in its name. It has sold 25+ mn air coolers worldwide. [2]"
CHL Limited (BSE:532992),BSE:532992,Hotel/Gaming,Consumer Discretionary,"<td class="""">62</td>","<td class="""">122</td>","<td class="""">135</td>","<td class="""">50</td>","<td class="""">87</td>","<td class="""">94</td>",2,1,19,13,21,26,15,17,17,3%,204%,44%,0%,0%,0%,11,11,11,-99,-133,-126,255,270,251,141,184,204,280,278,273,1,0,1,0,1,1,25,54,65,18,52,52,-1,-2,-26,-11,-26,-33,192,35,17.8,72.84%,"Business Units: [1] a) Hotel The Suryaa: This is a 5-Star Deluxe Hotel with 160 Deluxe Rooms, 70 Club Rooms, 6 Deluxe Suites, 3 Luxury Suites,  and 5 Disable Rooms. The Hotel offers international, contemporary and casual food b) Sampan: It is a 100 cover restaurant for authentic Cantonese and Pan Asian restaurant with a panoramic roof top view of the city. c) Ssence: A 138 cover multi cuisine restaurant operations with global cuisine-dining facility at the lobby level d) Atrium Lounge Bar: It is equipped with 64 cover capacity to consume world’s finest liquors and sprits e) Club one: It is a fitness center which offers a full-fledged Ayurvedic Treatment Center cum Spa, physical therapy, cardiopulmonary rehabilitation and weight control programs"
Mac Charles (India) Limited (BSE:507836),BSE:507836,Hotel/Gaming,Consumer Discretionary,"<td class="""">22</td>","<td class="""">11</td>","<td class="""">11</td>","<td class="""">14</td>","<td class="""">13</td>","<td class="""">24</td>",112,85,18,6,32,72,3,2,2,1%,13%,-4%,0%,0%,0%,13,13,13,173,228,162,122,532,827,117,16,18,100,305,527,0,0,0,7,29,20,319,454,474,-18,-15,-21,76,-386,-162,35,314,176,740,565,,73.78%,"Business Overview: [1] MCIL is in the business of real estate development and wind power generation in Bangalore. Company is promoted by Embassy Group which holds 73.41 percent of the shares of MCIL. It owns commercial real estate assets in Bangalore, Kerala, and 5 wind power generation units in Bellary."
Royal Orchid Hotels Limited (NSEI:ROHLTD),NSEI:ROHLTD,Hotel/Gaming,Consumer Discretionary,"<td class="""">139</td>","<td class="""">264</td>","<td class="""">294</td>","<td class="""">115</td>","<td class="""">182</td>","<td class="""">218</td>",42,16,19,17,16,18,19,18,20,10%,26%,17%,0%,12%,14%,27,27,27,98,146,163,149,158,200,89,93,79,193,206,255,0,1,0,24,27,30,145,190,184,22,56,59,-3,-9,-37,-13,-25,-39,878,321,18.2,63.64%,"Business Overview: [1] [2] ROHL is in the business of managing hotels under flagship brands. Currently it has 107+ Hotels & Resorts in 70+ Locations in 16 States. Company runs Owned hotels, Leased Hotels, Managed & Franchised Hotels, and Subsidiaries Companies"
IntraSoft Technologies Limited (BSE:533181),BSE:533181,Retail (General),Consumer Discretionary,"<td class="""">422</td>","<td class="""">457</td>","<td class="""">485</td>","<td class="""">409</td>","<td class="""">441</td>","<td class="""">466</td>",5,5,7,4,8,12,1,1,1,-3%,24%,30%,11%,18%,0%,15,15,16,152,164,195,113,148,139,41,30,27,15,14,13,108,155,180,75,82,87,122,105,98,33,14,17,-45,-44,-21,10,26,2,209,127,17.1,43.06%,"Business Overview: [1] [2] Company is amongst the top 300 e-commerce retailers on the Amazon US marketplace. It enables small and medium businesses (300+ brand partners) in the US to sell their products on Amazon. Company sells 1.50 Lac + products across major categories viz. home & kitchen, garden & outdoor, tools & home, sports, etc. and has partnered with logistic companies viz. UPS and Fedex for order fulfillment"
Shoppers Stop Limited (NSEI:SHOPERSTOP),NSEI:SHOPERSTOP,Retail (General),Consumer Discretionary,"<td class="""">2,519</td>","<td class="""">4,022</td>","<td class="""">4,317</td>","<td class="""">2,249</td>","<td class="""">3,327</td>","<td class="""">3,600</td>",194,55,49,207,209,225,355,382,437,-53%,27%,26%,0%,0%,0%,55,55,55,21,151,246,"2,115","2,375","2,785","1,591","2,023","2,208","1,723","2,097","2,582",14,34,21,146,48,4,"1,899","2,424","2,688",383,543,561,-102,-29,-111,-270,-537,-479,"6,320",574,179,65.54%,"Product Offerings The company sells a wide range of products under various private and trusted brands through its stores. Its product offerings include clothes, beauty products, home products, and various others. [1]"
TVS Srichakra Limited (BSE:509243),BSE:509243,Rubber& Tires,Consumer Discretionary,"<td class="""">2,543</td>","<td class="""">2,985</td>","<td class="""">2,926</td>","<td class="""">2,373</td>","<td class="""">2,751</td>","<td class="""">2,625</td>",4,4,-2,34,44,48,80,92,104,27%,23%,26%,29%,32%,34%,8,8,8,963,"1,027","1,104",610,662,842,779,757,739,708,905,"1,082",226,145,143,254,255,260,"1,171","1,149","1,208",-62,206,228,-282,-202,-325,348,0,101,"2,334","3,012",33.7,45.70%,"Business Segment The company’s product portfolio includes tyres for 2/3-wheeler, Industrial Pneumatic, Farm and Implement, Skid-steer, Multi-purpose, etc. [1]"
Gujarat Ambuja Exports Limited (NSEI:GAEL),NSEI:GAEL,Farming/Agriculture,Consumer Staples,"<td class="""">4,670</td>","<td class="""">4,909</td>","<td class="""">4,927</td>","<td class="""">3,983</td>","<td class="""">4,433</td>","<td class="""">4,484</td>",54,73,144,6,13,18,97,95,121,26%,25%,23%,3%,5%,0%,23,23,46,"2,095","2,411","2,723",281,229,199,354,289,342,771,"1,042","1,037",246,87,153,714,650,840,"1,022","1,172","1,280",596,241,213,-777,-72,-253,100,-76,-55,"5,422",118,17.6,63.84%,Business Segments
Anjani Foods Limited (BSE:511153),BSE:511153,Food Processing,Consumer Staples,"<td class="""">34.96</td>","<td class="""">48.86</td>","<td class="""">51.59</td>","<td class="""">33.58</td>","<td class="""">45.36</td>","<td class="""">47.47</td>",0.41,0.17,0.07,0.56,0.71,0.67,1.04,1.61,1.74,15.79%,37.04%,30.90%,0.00%,0.00%,0.00%,5.59,5.59,5.59,6.54,7.46,8.82,8.65,8.71,8.96,11.77,10.74,13.54,24.13,24.92,28.94,0,0,0.51,0.01,0,0,8.41,7.58,7.46,1.56,2.74,6.57,-1.83,-2.38,-6.09,0.17,-0.55,-0.42,90.6,32.4,71.9,75.00%,"Business Overview : [1] [2] AFL is a part of Anjani Vishnu group. It is a bakery retailer & distributor, with outlets spread across 5 districts from Srikakulam to Godavari. It manufactures  different varieties of cookies, cakes and breads"
DCM Shriram Industries Limited (BSE:523369),BSE:523369,Food Processing,Consumer Staples,"<td class="""">2,123</td>","<td class="""">2,351</td>","<td class="""">2,083</td>","<td class="""">1,981</td>","<td class="""">2,208</td>","<td class="""">1,858</td>",24,18,23,40,34,36,33,36,39,29%,34%,33%,20%,14%,15%,17,17,17,655,699,798,566,510,529,541,724,855,584,632,627,33,2,7,25,45,51,"1,137","1,272","1,514",59,169,77,-71,-68,-43,0,-101,-22,"1,405",162,11.5,50.11%,Business Segments
Future Consumer Limited (NSEI:FCONSUMER),NSEI:FCONSUMER,Food Processing,Consumer Staples,"<td class="""">1,469</td>","<td class="""">381</td>","<td class="""">370</td>","<td class="""">1,749</td>","<td class="""">459</td>","<td class="""">391</td>",-55,-155,-36,63,53,61,52,32,18,0%,1%,-1%,0%,0%,0%,"1,190","1,192","1,196","-1,040","-1,363","-1,502",577,428,410,494,354,404,642,62,9,9,0,0,8,5,8,562,545,490,119,40,1,6,94,10,-134,-148,-18,114,0.57,,3.49%,"Business Overview : [1] FCL is a part of the Future Group and operates as a food company. The company’s line of business include branding, marketing, sourcing, manufacturing, and distribution of basic foods, ready to eat meals, snacks, beverages, dairy, personal hygiene and home care products of private label brands of the Future Group and other brands through Future group formats and outlets across India"
Gokul Refoils & Solvent Limited (NSEI:GOKUL),NSEI:GOKUL,Food Processing,Consumer Staples,"<td class="""">3,053</td>","<td class="""">3,137</td>","<td class="""">3,019</td>","<td class="""">3,013</td>","<td class="""">3,081</td>","<td class="""">2,973</td>",21,10,0,18,27,33,6,8,10,28%,23%,32%,0%,0%,0%,20,20,20,284,308,310,368,425,335,169,91,74,84,109,108,2,2,7,33,74,60,721,659,564,-72,92,56,-7,-22,17,66,27,-123,490,50,42.4,74.62%,"Business Overview: [1] [2] GRSL is a part of the Gokul Group which is among the top 3 manufacturers and exporters of castor derivatives in India. It manufactures Edible Oils and Industrial Oil and is engaged in the business of seed processing, solvent extraction, refining of edible oils and industrial oil such as Castor Oil Company conducts its business through Gokul Agri International Limited which is a wholly-owned subsidiary of the company. It has its production facility at Sidhpur, Gujarat. Sidhpur Plant processes various types of oils including Kachi Ghani oil, Mustard oil, Groundnut oil, Refined Cottonseed oil, Soyaben Refined oil, Palmolein and Castor oil. It is also trading in agro commodities including spices in domestic and international market"
Neelamalai Agro Industries Limited (BSE:508670),BSE:508670,Food Processing,Consumer Staples,"<td class="""">30</td>","<td class="""">25</td>","<td class="""">25</td>","<td class="""">30</td>","<td class="""">28</td>","<td class="""">29</td>",35,34,46,0,0,0,1,1,1,4%,4%,5%,6%,7%,8%,0.62,0.62,0.62,218,245,276,0,0,0,11,8,8,3,4,6,1,1,0,213,241,272,12,9,8,-4,-2,-4,7,4,6,-3,-1,-2,249,"3,999",9.97,72.45%,"Business Overview: [1] Company is engaged in the Tea Plantation activity in its 2 tea estates viz. Katary & Sutton Estates , located in the Nilgiris District in Tamil Nadu, spanning an area of 635.56 Hectares. Currently, the company produces 100% Orthodox Tea . Its main business includes: a) Tea cultivation b) Tea Manufacturing c) Sales and exports of Tea"
Span Divergent Limited (BSE:524727),BSE:524727,Food Wholesalers,Consumer Staples,"<td class="""">13.09</td>","<td class="""">12.52</td>","<td class="""">12.33</td>","<td class="""">12.67</td>","<td class="""">11.42</td>","<td class="""">10.94</td>",-7.54,-3.45,1.77,1.08,1,0.72,2.17,2.17,1.64,-2.12%,-1.81%,2.50%,0.00%,0.00%,0.00%,5.46,5.46,5.46,-3.24,-8.3,-7.35,13.19,11.15,9.11,12.27,17.02,16.64,15.36,13.12,10.75,0,0,0,4.03,3.95,4.69,8.29,8.26,8.42,7.03,1.98,2.5,-2.05,0.53,0.12,-5.5,-2.3,-2.09,16.2,29.7,18,64.00%,"Services Offered: [1] Company is operating in various businesses through specific subsidiary firm formed for each of the businesses. a) Dryfruit Factory LLP (DFFL): Company has a plant near Ahmedabad for processing of Raw Cashew Nuts (RCNs) into a finished cashew. Its commercial production started in Q2FY18 b) Aranya Agri Biotech LLP (AABL): It is involved in Plant Tissue Culture business which falls into Agriculture Activities. It is also doing Research and Development to make new products which can be cultivated through tissue culture techniques c) Desai Farmharvest LLP: No operation has started in this LLP d) Biospan Scientific LLP (BSLLP): This focuses on areas of Microbiology, Protein research and Scientific Laboratory products. As of now, LLP has limited products under its name. e) Biospan Contamination Control Solutions Private Limited (BSCCS): BSCCS is a joint venture formed between Span Divergent Ltd. and Micronclean UK, with Span having 67% equity stake. It caters to Pharma along with Biotechnology industry having clean room consumable requirement. Products are imported from Joint Venture Partner Company from UK and other reputed companies world-wide operating in similar segment. f) Span Diagnostics LLP: No operation has started in this LLP g) Span Diagnostics South Africa (PTY) Limited: Being an inoperative entity, company has initiated process either to divest its investment from this venture or close down the same."
JHS Svendgaard Laboratories Limited (NSEI:JHS),NSEI:JHS,Transportation,Consumer Staples,"<td class="""">86</td>","<td class="""">85</td>","<td class="""">71</td>","<td class="""">87</td>","<td class="""">94</td>","<td class="""">72</td>",9,-7,4,1,1,0,7,6,6,4000%,-24%,18%,0%,0%,0%,65,78,78,121,95,91,6,3,5,30,52,22,59,65,90,20,9,1,4,3,3,140,152,102,-9,23,-9,-5,10,-22,-2,-1,2,159,18.4,,34.56%,"Business Overview: [1] JHSSLL manufactures Toothbrushes, Toothpastes, Mouthwash and Denture Tablets. Apart from working on its own brands viz. Dr. Gold, Aquawhite, etc. company also offers Contract Manufacturing Partnership to brands in domestic and international markets"
Alphageo (India) Limited (BSE:526397),BSE:526397,Oilfield Svcs/Equip.,Energy,"<td class="""">155</td>","<td class="""">66</td>","<td class="""">99</td>","<td class="""">122</td>","<td class="""">59</td>","<td class="""">86</td>",5,24,5,1,1,0,20,13,14,31%,27%,77%,42%,39%,1343%,6,6,6,265,277,272,0,0,0,38,7,16,65,65,59,1,2,2,26,55,30,218,168,203,79,13,1,-23,-65,11,-6,-6,-5,241,376,13.8,46.03%,"Business Overview: [1] AIL provides seismic survey services to the oil exploration & production sector. It is the an Indian geophysical company providing comprehensive services covering land seismic data acquisition, its processing and interpretation"
Aryaman Financial Services Limited (BSE:530245),BSE:530245,Brokerage & Investment Banking,Financials,"<td class="""">85</td>","<td class="""">56</td>","<td class="""">70</td>","<td class="""">74</td>","<td class="""">46</td>","<td class="""">34</td>",0,0,0,2,3,4,0,0,0,11%,19%,14%,0%,0%,0%,12,12,12,30,44,61,31,41,46,26,36,41,2,2,2,0,0,0,39,58,62,58,73,96,17,11,26,-3,1,-6,0,7,2,558,478,37,62.17%,"Services Offerings [1] [2] A) Fund Raising – Equity Capital Markets The company advises corporates and businesses of all sizes which are seeking to mobilize capital from investors in India and overseas through IPOs, FPOs, Rights Issues, and other ways of raising capital. B) M&A Advisory and Open Offer Management: The M&A segment is engaged in turnkey transaction management and advises a diverse range of clients in medium to large transactions. It provides both buy-side and sell-side advisory services as part of our M&A advisory offerings. C) Private Equity Offerings: It advises promoters and companies on the key considerations in a PE fundraising exercise . D) Structured Finance Advisory: The company organizes appropriate financing solutions for client-specific situations and identifies and places the transaction with institutional investors. The portfolio of solutions comprises Promoter Financing and acquisition Financing . E) Corporate Finance Advisory and Certifications: Managing corporate finance activities such as Schemes of Amalgamations, Mergers, ESOP Transactions, Foreign Remittance and Equity Placements, etc. [3]"
B. N. Rathi Securities Limited (BSE:523019),BSE:523019,Brokerage & Investment Banking,Financials,"<td class="""">43</td>","<td class="""">47</td>","<td class="""">57</td>","<td class="""">35</td>","<td class="""">34</td>","<td class="""">42</td>",0,0,0,1,2,1,0,0,0,25%,27%,26%,17%,17%,15%,8,8,10,28,35,53,2,0,0,110,112,142,3,3,4,0,0,0,2,4,11,143,149,191,41,-5,5,-23,5,2,6,2,15,195,46.9,15.4,47.04%,"Business Overview: [1] Company offers Trading and Investment Opportunities across multiple market and segments like Equity, F&O, IPOs, Currency and Mutual Funds to Investors through their offices across the country. It is registered with Life Insurance Corporation of India Ltd, UTI, Bank of India and Bank of Maharashtra for their secondary market operations"
HB Stockholdings Limited (BSE:532216),BSE:532216,Brokerage & Investment Banking,Financials,"<td class="""">18</td>","<td class="""">3</td>","<td class="""">44</td>","<td class="""">2</td>","<td class="""">5</td>","<td class="""">3</td>",0,0,0,0,0,0,0,0,0,3%,-5%,9%,5%,-38%,3%,8,8,8,61,58,95,0,1,1,2,1,6,1,2,2,0,0,0,47,45,82,23,22,25,-12,-3,33,15,-1,-31,0,1,0,68.4,98.5,2.89,53.22%,"Business Overview: [1] Company is registered as Non-banking financial company Non-Systemically important Non-Deposit taking Company. It undertakes financial services, investing and sale & purchase of various kinds of securities"
